"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Das freundlichste KDP-Business: Gemeinsam wachsen","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-03-001-community-kdp-business.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Du willst eigene Buecher erstellen, aber nicht alleine durch den KDP-Dschungel? Kapitel 2 begleitet dich mit Community, klaren Schritten und Motivation fuer dein Buchbusiness.","","2026-08-03T03:00:00","KDP Community, Buchbusiness starten, gemeinsam wachsen, KDP Kurs, Selfpublishing fuer Anfaenger, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Das KDP-Business fuer dich: Kreativ starten","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-03-002-kdp-business-fuer-dich.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Baue dir ein zweites Standbein mit Kreativitaet, eigenen Buchideen und Amazon KDP auf. Perfekt fuer kreative Frauen, Mamas und alle, die Schritt fuer Schritt starten wollen.","","2026-08-03T07:00:00","KDP Business, zweites Standbein, kreative Frauen, Mama Business, Amazon KDP starten, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Kinderbuecher erstellen darf leicht sein","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-03-003-kinderbuecher-erstellen-spass.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Eigene Kinderbuecher planen, gestalten und veroeffentlichen: In Kapitel 2 lernst du den Weg anfaengerfreundlich, kreativ und Schritt fuer Schritt.","","2026-08-03T17:00:00","Kinderbuch erstellen, Kinderbuecher schreiben, KDP fuer Anfaenger, Buchidee Kinder, Bilderbuch erstellen, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"KDP-Bots, die dich wirklich unterstuetzen","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-04-004-bots-unterstuetzen.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Von Formatierung bis Nischensuche: Entdecke, wie smarte Bots dir beim Aufbau deiner KDP-Buecher helfen koennen, ohne dass du alles alleine herausfinden musst.","","2026-08-04T03:00:00","KDP Bots, KI Tools fuer Buecher, Buch erstellen mit KI, KDP Hilfe, Selfpublishing Tools, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Dein KDP-Buchbusiness starten? So geht es leichter","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-04-005-kdp-buchbusiness-starten.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Wenn du dir ein kreatives Buchbusiness aufbauen willst, brauchst du keinen perfekten Start. Du brauchst einen klaren Fahrplan, einfache Schritte und gute Unterstuetzung.","","2026-08-04T07:00:00","KDP Buchbusiness starten, Amazon KDP Anleitung, Online Business aufbauen, Buchbusiness fuer Mamas, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Kreativ sein und mit Kinderbuechern starten","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-04-006-kreativ-geld-kinderbuecher.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Du liebst kreative Ideen, Malbuecher oder Kinderbuecher? Kapitel 2 zeigt dir, wie du daraus ein eigenes KDP-Projekt machen kannst.","","2026-08-04T17:00:00","Kinderbuecher erstellen, Malbuch erstellen, kreative Buchideen, Amazon KDP, Geld verdienen kreativ, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Gemeinsam zum KDP-Erfolg: Nicht allein starten","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-05-007-gemeinsam-zum-erfolg.jpg","Amazon KdP| Selfpublishing |Digitales Business","","KDP muss kein einsamer Weg sein. Mit klarer Anleitung, Tools und einer liebevollen Community kannst du dein erstes Buchprojekt viel leichter angehen.","","2026-08-05T03:00:00","KDP Erfolg, KDP Community, erstes Buch erstellen, Amazon KDP Tipps, Buchprojekt starten, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Kreativitaet trifft smarte Bots","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-05-008-kreativitaet-bots.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Buchcover, Formatierung, Ideen und Struktur: Lerne, wie du mit smarten Helfern schneller vom Gedanken zum fertigen Buch kommst.","","2026-08-05T07:00:00","Buchcover Design, KDP Formatierung, KI fuer Buchcover, Kinderbuch Cover, Selfpublishing Workflow, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Der rote Faden fuer deinen Bucherfolg","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-05-009-roter-faden-bucherfolg.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Vom ersten Gedanken bis zur Veroeffentlichung: Kapitel 2 gibt dir einen strukturierten Fahrplan fuer Amazon KDP und dein eigenes Buchbusiness.","","2026-08-05T17:00:00","Amazon KDP Fahrplan, Buch veroeffentlichen, Bucherfolg, Selfpublishing Anleitung, KDP Schritt fuer Schritt, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
"Einfach anfangen: Dein Buchbusiness Schritt fuer Schritt","https://raw.githubusercontent.com/zauberaufpapier-collab/zauberbuch/main/pins/seitenfunkeln/bulk-2026-08-03/seitenfunkeln-2026-08-06-010-magische-ergebnisse.jpg","Amazon KdP| Selfpublishing |Digitales Business","","Du brauchst keine perfekte Idee, um loszugehen. Starte mit einem klaren System, kreativer Energie und Unterstuetzung fuer dein erstes KDP-Buch.","","2026-08-06T03:00:00","Buchbusiness starten, KDP fuer Anfaenger, eigenes Buch schreiben, digitale Produkte, kreative Selbststaendigkeit, Amazon KDP, Selfpublishing, eigenes Buch erstellen, Kinderbuch erstellen, Malbuch erstellen, Bilderbuch, Buchidee, Buch veroeffentlichen, digitales Business, Online Business, Mama Business, kreative Frauen, Arbeiten von Zuhause, Pinterest Marketing, Buchcover Design, KDP Tipps, Buch Marketing, KI Tools, Anfaenger Kurs, Kapitel 2, Kindergarten, Vorschule, Basteln mit Kindern, kreative Beschaeftigung Kinder"
